"","Location","Denomination","Month","Weekday","Type","Theme","Age","Promotion","Coupons","Weather","Coin.in"
"787","2nd Floor - Front","Five Dollar","Jan","Friday","Bonus Video","Travel",8,"Daily Special","None","balmy",1124
"788","2nd Floor - Front","Five Dollar","Feb","Wednesday","5 Reel","Fruit",6,"None","None","icy",358
"789","2nd Floor - Front","Five Dollar","Mar","Tuesday","Bonus Video","Casinos",13,"New Player","None","dark",981
"791","2nd Floor - Front","Five Dollar","Apr","Friday","Progressive","Food",3,"None","None","mild",717
"792","2nd Floor - Front","Five Dollar","May","Tuesday","5 Reel","Animals",18,"None","None","arid",1266
"794","2nd Floor - Front","Five Dollar","Jul","Sunday","4 Reel","Entertainment",17,"New Player","None","icy",61
"795","2nd Floor - Front","Five Dollar","Aug","Friday","Bonus Video","Horror",17,"New Player","None","scorching",1107
"796","2nd Floor - Front","Five Dollar","Sep","Tuesday","4 Reel","Fruit",10,"Daily Special","None","misty",665
"797","2nd Floor - Front","Five Dollar","Sep","Friday","Progressive","Adventure",4,"New Player","None","bad",332
"799","2nd Floor - Front","Five Dollar","Oct","Wednesday","4 Reel","Travel",4,"Monthy Player","None","sunny",1055
"800","2nd Floor - Front","Five Dollar","Oct","Friday","Bonus Video","Love",15,"None","None","good",677
"801","2nd Floor - Front","Five Dollar","Oct","Sunday","Progressive","Magic",4,"None","None","sunny",493
"803","2nd Floor - Front","Ten Dollar","Feb","Tuesday","5 Reel","Movies",12,"Daily Special","None","hot",1422
"804","2nd Floor - Front","Ten Dollar","Feb","Thursday","4 Reel","Casinos",6,"VIP","None","close",141
"805","2nd Floor - Front","Ten Dollar","Feb","Friday","4 Reel","Movies",11,"None","None","frosty",799
"806","2nd Floor - Front","Ten Dollar","Mar","Tuesday","4 Reel","Other",5,"New Player","None","bad",988
"807","2nd Floor - Front","Ten Dollar","Mar","Tuesday","Bonus Video","History",13,"New Player","None","blusterous",1327
"808","2nd Floor - Front","Ten Dollar","Apr","Sunday","5 Reel","Magic",4,"New Player","None","balmy",724
"811","2nd Floor - Front","Twenty Five Dollar","Jan","Monday","Bonus Video","Travel",7,"None","None","misty",1424
"812","2nd Floor - Front","Twenty Five Dollar","Jan","Wednesday","5 Reel","Entertainment",11,"Monthy Player","None","cold",587
"813","2nd Floor - Front","Twenty Five Dollar","Jan","Thursday","Progressive","History",3,"New Player","None","bitter",197
"814","2nd Floor - Front","Twenty Five Dollar","Feb","Thursday","5 Reel","Fruit",13,"New Player","None","calm",723
"815","2nd Floor - Front","Twenty Five Dollar","Feb","Friday","Progressive","Riches",9,"None","None","windy",1143
"816","2nd Floor - Front","Twenty Five Dollar","Mar","Monday","Progressive","Horror",7,"VIP","None","bad",587
"817","2nd Floor - Front","Twenty Five Dollar","Mar","Thursday","Bonus Video","History",9,"Monthy Player","None","snow",1212
"818","2nd Floor - Front","Twenty Five Dollar","Mar","Sunday","4 Reel","History",1,"VIP","None","mild",1306
"819","2nd Floor - Front","Twenty Five Dollar","May","Tuesday","Bonus Video","Fairy Tale",5,"VIP","None","rainy",1075
"820","2nd Floor - Front","Twenty Five Dollar","May","Friday","Bonus Video","Animals",14,"Daily Special","None","scorching",889
"823","2nd Floor - Front","Twenty Five Dollar","Aug","Monday","4 Reel","Retro",15,"VIP","None","rainy",1202
"824","2nd Floor - Front","Twenty Five Dollar","Aug","Monday","Progressive","Retro",17,"None","None","calm",989
"825","2nd Floor - Front","Twenty Five Dollar","Aug","Wednesday","4 Reel","Food",10,"None","None","crummy",432
"826","2nd Floor - Front","Twenty Five Dollar","Aug","Thursday","4 Reel","Retro",13,"VIP","None","revolting",51
"827","2nd Floor - Front","Twenty Five Dollar","Aug","Thursday","4 Reel","Riches",19,"New Player","None","damp",1056
"828","2nd Floor - Front","Twenty Five Dollar","Sep","Monday","Bonus Video","Classic Symbols",11,"VIP","None","dark",503
"830","2nd Floor - Front","Twenty Five Dollar","Sep","Thursday","Bonus Video","Magic",10,"Monthy Player","None","sultry",1405
"832","2nd Floor - Front","Twenty Five Dollar","Sep","Sunday","4 Reel","Other",10,"Daily Special","None","cold",689
"833","2nd Floor - Front","Twenty Five Dollar","Sep","Sunday","Progressive","Fruit",12,"Daily Special","None","calm",1276
"835","2nd Floor - Front","Twenty Five Dollar","Oct","Tuesday","Progressive","Movies",10,"Monthy Player","None","steamy",892
"836","2nd Floor - Front","Twenty Five Dollar","Oct","Sunday","Bonus Video","Retro",2,"Monthy Player","None","dead",99
"838","2nd Floor - Front","Fifty Dollar","Jan","Wednesday","Progressive","Holidays",16,"VIP","None","drizzly",1102
"839","2nd Floor - Front","Fifty Dollar","Mar","Tuesday","5 Reel","Animals",1,"Monthy Player","None","humid",1127
"840","2nd Floor - Front","Fifty Dollar","Mar","Thursday","Bonus Video","Regional",2,"VIP","None","sunny",1037
"841","2nd Floor - Front","Fifty Dollar","Apr","Thursday","Bonus Video","Movies",3,"None","None","snow",17
"842","2nd Floor - Front","Fifty Dollar","Apr","Friday","5 Reel","American",18,"None","None","dead",1197
"843","2nd Floor - Front","Fifty Dollar","Apr","Friday","Progressive","Fruit",16,"New Player","None","showery",836
"844","2nd Floor - Front","Fifty Dollar","Apr","Sunday","Progressive","Entertainment",2,"New Player","None","humid",1246
"845","2nd Floor - Front","Fifty Dollar","Jun","Tuesday","4 Reel","Entertainment",17,"New Player","None","cold",138
"847","2nd Floor - Front","Fifty Dollar","Jun","Wednesday","Progressive","American",17,"VIP","None","damp",1212
"848","2nd Floor - Front","Fifty Dollar","Aug","Tuesday","Bonus Video","Casinos",13,"New Player","None","raw",55
"849","2nd Floor - Front","Fifty Dollar","Aug","Wednesday","4 Reel","Classic Symbols",13,"None","None","raw",772
"850","2nd Floor - Front","Fifty Dollar","Sep","Tuesday","Progressive","Animals",12,"Monthy Player","None","showery",1012
"851","2nd Floor - Front","Fifty Dollar","Oct","Tuesday","5 Reel","Regional",9,"None","None","arid",732
"852","2nd Floor - Front","Hundred Dollar","Jan","Friday","Progressive","American",10,"Monthy Player","None","bad",1397
"853","2nd Floor - Front","Hundred Dollar","Mar","Friday","5 Reel","Love",13,"Daily Special","None","drizzly",1237
"858","2nd Floor - Front","Hundred Dollar","May","Wednesday","4 Reel","Retro",9,"None","None","balmy",1429
"859","2nd Floor - Front","Hundred Dollar","Jun","Wednesday","5 Reel","Casinos",16,"None","None","hot",1220
"860","2nd Floor - Front","Hundred Dollar","Aug","Wednesday","Bonus Video","American",16,"VIP","None","rainy",129
"862","2nd Floor - Front","Hundred Dollar","Oct","Tuesday","4 Reel","History",7,"VIP","None","bitter",81
"864","2nd Floor - Front","Hundred Dollar","Oct","Sunday","5 Reel","Classic Symbols",17,"Daily Special","None","steamy",1280
"865","2nd Floor - Front","Hundred Dollar","Nov","Monday","Bonus Video","Fairy Tale",17,"New Player","None","dead",583
"869","2nd Floor - Middle","Penny","Jan","Friday","5 Reel","Adventure",3,"None","None","frosty",1392
"870","2nd Floor - Middle","Penny","Jan","Friday","Bonus Video","Fruit",17,"New Player","None","dark",926
"871","2nd Floor - Middle","Penny","Feb","Wednesday","4 Reel","Casinos",5,"New Player","None","balmy",883
"873","2nd Floor - Middle","Penny","Apr","Wednesday","Bonus Video","American",3,"VIP","None","dead",1059
"874","2nd Floor - Middle","Penny","May","Tuesday","Bonus Video","Regional",1,"Monthy Player","None","balmy",733
"875","2nd Floor - Middle","Penny","Jul","Thursday","Progressive","Adventure",7,"VIP","None","arid",591
"878","2nd Floor - Middle","Penny","Dec","Tuesday","5 Reel","Adventure",4,"Daily Special","None","damp",563
"879","2nd Floor - Middle","Penny","Dec","Friday","Progressive","Magic",2,"None","None","dead",500
"882","2nd Floor - Middle","Two Cent","Mar","Thursday","4 Reel","American",1,"New Player","None","humid",1437
"885","2nd Floor - Middle","Two Cent","Jun","Sunday","4 Reel","Fruit",20,"Monthy Player","None","humid",1393
"888","2nd Floor - Middle","Two Cent","Aug","Wednesday","5 Reel","Horror",12,"None","None","mild",918
"889","2nd Floor - Middle","Two Cent","Sep","Wednesday","Bonus Video","Magic",1,"VIP","None","good",1309
"890","2nd Floor - Middle","Two Cent","Oct","Monday","5 Reel","Horror",15,"Monthy Player","None","blusterous",1100
"892","2nd Floor - Middle","Two Cent","Nov","Wednesday","4 Reel","Sea",19,"Monthy Player","None","icy",1120
"893","2nd Floor - Middle","Two Cent","Nov","Sunday","4 Reel","Fruit",14,"New Player","None","revolting",1495
"894","2nd Floor - Middle","Nickel","Mar","Tuesday","Progressive","Travel",4,"VIP","None","showery",1331
"895","2nd Floor - Middle","Nickel","Apr","Tuesday","Bonus Video","Fruit",18,"Monthy Player","None","windy",251
"897","2nd Floor - Middle","Nickel","May","Monday","Bonus Video","Entertainment",4,"VIP","None","tempestuous",1314
"899","2nd Floor - Middle","Nickel","May","Sunday","4 Reel","Movies",3,"VIP","None","crummy",182
"903","2nd Floor - Middle","Nickel","Aug","Sunday","Progressive","Love",3,"None","None","steamy",793
"904","2nd Floor - Middle","Nickel","Sep","Tuesday","5 Reel","Other",20,"Daily Special","None","cloudy",987
"906","2nd Floor - Middle","Nickel","Sep","Friday","5 Reel","History",11,"Monthy Player","None","clear",1431
"909","2nd Floor - Middle","Dime","Feb","Monday","Bonus Video","Fairy Tale",17,"Daily Special","None","revolting",596
"910","2nd Floor - Middle","Dime","Feb","Sunday","Bonus Video","Food",11,"Monthy Player","None","frosty",1009
"911","2nd Floor - Middle","Dime","Mar","Friday","4 Reel","History",1,"Daily Special","None","snow",1265
"912","2nd Floor - Middle","Dime","Apr","Tuesday","Bonus Video","Animals",11,"Monthy Player","None","revolting",210
"913","2nd Floor - Middle","Dime","Apr","Wednesday","4 Reel","Horror",8,"None","None","blusterous",954
"915","2nd Floor - Middle","Dime","May","Tuesday","5 Reel","Regional",19,"None","None","damp",344
"916","2nd Floor - Middle","Dime","May","Tuesday","Bonus Video","Entertainment",2,"Monthy Player","None","hot",684
"917","2nd Floor - Middle","Dime","Jun","Thursday","4 Reel","Entertainment",4,"None","None","calm",495
"919","2nd Floor - Middle","Dime","Jun","Sunday","5 Reel","Retro",5,"Daily Special","None","frosty",1351
"920","2nd Floor - Middle","Dime","Jul","Friday","Bonus Video","Riches",8,"Monthy Player","None","muggy",981
"921","2nd Floor - Middle","Dime","Aug","Thursday","Bonus Video","Casinos",18,"None","None","icy",133
"923","2nd Floor - Middle","Dime","Oct","Tuesday","4 Reel","Adventure",10,"Daily Special","None","cold",1287
"924","2nd Floor - Middle","Dime","Oct","Tuesday","4 Reel","Fairy Tale",17,"None","None","scorching",1068
"925","2nd Floor - Middle","Dime","Oct","Tuesday","4 Reel","Riches",19,"New Player","None","steamy",789
"926","2nd Floor - Middle","Dime","Oct","Tuesday","5 Reel","Fruit",20,"VIP","None","cold",1045
"929","2nd Floor - Middle","Quarter","Feb","Sunday","5 Reel","Sea",2,"Monthy Player","None","frosty",1437
"930","2nd Floor - Middle","Quarter","Mar","Wednesday","Bonus Video","Animals",6,"None","None","close",5
"931","2nd Floor - Middle","Quarter","Mar","Thursday","Bonus Video","Magic",9,"Monthy Player","None","balmy",228
"933","2nd Floor - Middle","Quarter","Aug","Wednesday","Progressive","Holidays",11,"Monthy Player","None","sunny",782
"934","2nd Floor - Middle","Quarter","Aug","Thursday","4 Reel","Regional",14,"Monthy Player","None","steamy",1098
"935","2nd Floor - Middle","Quarter","Oct","Tuesday","5 Reel","American",20,"VIP","None","dark",1174
"936","2nd Floor - Middle","Quarter","Nov","Sunday","5 Reel","Holidays",16,"VIP","None","damp",1469
"937","2nd Floor - Middle","Quarter","Dec","Thursday","5 Reel","Holidays",3,"New Player","None","humid",1391
"938","2nd Floor - Middle","Half Dollar","Mar","Tuesday","Progressive","Love",19,"Monthy Player","None","balmy",684
"939","2nd Floor - Middle","Half Dollar","Mar","Thursday","Bonus Video","Animals",1,"Daily Special","None","misty",1256
"940","2nd Floor - Middle","Half Dollar","Mar","Thursday","Bonus Video","Entertainment",3,"VIP","None","damp",760
"941","2nd Floor - Middle","Half Dollar","Apr","Monday","Progressive","Travel",4,"VIP","None","stormy",13
"943","2nd Floor - Middle","Half Dollar","Jun","Tuesday","Bonus Video","Holidays",20,"New Player","None","drizzly",206
"944","2nd Floor - Middle","Half Dollar","Jun","Sunday","Progressive","American",2,"Daily Special","None","hazy",1430
"947","2nd Floor - Middle","Half Dollar","Jul","Thursday","5 Reel","American",3,"New Player","None","mild",862
"949","2nd Floor - Middle","Half Dollar","Oct","Thursday","Progressive","Riches",7,"Daily Special","None","hot",489
"951","2nd Floor - Middle","Half Dollar","Nov","Thursday","Progressive","Movies",5,"Daily Special","None","showery",1281
"952","2nd Floor - Middle","Half Dollar","Nov","Friday","4 Reel","Magic",17,"New Player","None","drizzly",830
"954","2nd Floor - Middle","Dollar","Feb","Tuesday","5 Reel","Love",5,"VIP","None","showery",557
"955","2nd Floor - Middle","Dollar","Feb","Sunday","Progressive","Adventure",3,"VIP","None","scorching",462
"956","2nd Floor - Middle","Dollar","Jun","Wednesday","Bonus Video","Classic Symbols",6,"Monthy Player","None","warm",493
"957","2nd Floor - Middle","Dollar","Jun","Thursday","4 Reel","Casinos",16,"None","None","mild",203
"958","2nd Floor - Middle","Dollar","Jun","Friday","5 Reel","Love",14,"VIP","None","calm",956
"959","2nd Floor - Middle","Dollar","Jul","Monday","5 Reel","Regional",12,"VIP","None","tempestuous",1473
"961","2nd Floor - Middle","Dollar","Jul","Friday","Progressive","Animals",6,"None","None","damp",231
"962","2nd Floor - Middle","Dollar","Aug","Thursday","4 Reel","Sea",8,"Monthy Player","None","showery",54
"964","2nd Floor - Middle","Dollar","Sep","Sunday","5 Reel","Animals",5,"Monthy Player","None","good",1385
"965","2nd Floor - Middle","Dollar","Oct","Thursday","4 Reel","Magic",13,"New Player","None","tempestuous",373
"968","2nd Floor - Middle","Dollar","Dec","Wednesday","Progressive","Fairy Tale",11,"None","None","showery",435
"969","2nd Floor - Middle","Dollar","Dec","Friday","5 Reel","Food",19,"VIP","None","dead",525
"971","2nd Floor - Middle","Two Dollar","Jan","Monday","4 Reel","Travel",7,"VIP","None","bitter",948
"973","2nd Floor - Middle","Two Dollar","Feb","Thursday","Bonus Video","Movies",10,"New Player","None","humid",100
"974","2nd Floor - Middle","Two Dollar","Mar","Monday","Bonus Video","American",20,"None","None","cold",894
"975","2nd Floor - Middle","Two Dollar","Mar","Wednesday","4 Reel","Classic Symbols",14,"VIP","None","damp",498
"976","2nd Floor - Middle","Two Dollar","Apr","Monday","5 Reel","Riches",15,"New Player","None","drizzly",1437
"977","2nd Floor - Middle","Two Dollar","Apr","Monday","Bonus Video","Other",8,"Monthy Player","None","arid",1276
"979","2nd Floor - Middle","Two Dollar","Jun","Thursday","Progressive","Holidays",14,"New Player","None","mild",115
"980","2nd Floor - Middle","Two Dollar","Jul","Monday","4 Reel","Animals",18,"Daily Special","None","arid",1278
"981","2nd Floor - Middle","Two Dollar","Jul","Monday","Bonus Video","American",14,"Monthy Player","None","raw",675
"982","2nd Floor - Middle","Two Dollar","Jul","Tuesday","Bonus Video","History",18,"Monthy Player","None","steamy",1207
"983","2nd Floor - Middle","Two Dollar","Jul","Thursday","Bonus Video","American",3,"None","None","dead",643
"984","2nd Floor - Middle","Two Dollar","Sep","Monday","5 Reel","Love",17,"None","None","dead",1205
"985","2nd Floor - Middle","Two Dollar","Sep","Tuesday","Bonus Video","Movies",4,"VIP","None","drizzly",114
"991","2nd Floor - Middle","Two Dollar","Dec","Monday","Bonus Video","Fairy Tale",20,"None","None","blusterous",1159
"992","2nd Floor - Middle","Two Dollar","Dec","Wednesday","Progressive","Regional",14,"None","None","cold",789
"993","2nd Floor - Middle","Five Dollar","Jan","Tuesday","4 Reel","Fruit",6,"Monthy Player","None","scorching",791
"995","2nd Floor - Middle","Five Dollar","Mar","Tuesday","Progressive","Holidays",14,"Daily Special","None","blusterous",270
"996","2nd Floor - Middle","Five Dollar","Mar","Friday","4 Reel","Horror",2,"Monthy Player","None","arid",691
"999","2nd Floor - Middle","Five Dollar","Apr","Sunday","Bonus Video","Travel",2,"Monthy Player","None","clear",437
"1000","2nd Floor - Middle","Five Dollar","Aug","Monday","Progressive","Sea",5,"VIP","None","snow",730
"1001","2nd Floor - Middle","Five Dollar","Sep","Thursday","Progressive","Sea",19,"VIP","None","humid",1180
"1002","2nd Floor - Middle","Five Dollar","Sep","Sunday","Progressive","Fruit",6,"Daily Special","None","cold",397
"1004","2nd Floor - Middle","Five Dollar","Nov","Thursday","5 Reel","Fairy Tale",11,"VIP","None","sultry",1238
"1007","2nd Floor - Middle","Five Dollar","Dec","Wednesday","Bonus Video","Retro",17,"VIP","None","bitter",96
"1012","2nd Floor - Middle","Ten Dollar","Feb","Sunday","5 Reel","Adventure",12,"New Player","None","steamy",1309
"1013","2nd Floor - Middle","Ten Dollar","Mar","Friday","4 Reel","Travel",7,"VIP","None","dark",69
"1014","2nd Floor - Middle","Ten Dollar","Apr","Wednesday","Bonus Video","Other",6,"Monthy Player","None","arid",450
"1015","2nd Floor - Middle","Ten Dollar","Apr","Friday","Bonus Video","Riches",7,"None","None","humid",623
"1016","2nd Floor - Middle","Ten Dollar","May","Sunday","Progressive","Retro",7,"Monthy Player","None","clear",617
"1018","2nd Floor - Middle","Ten Dollar","Jun","Friday","Bonus Video","Adventure",6,"New Player","None","tempestuous",857
"1019","2nd Floor - Middle","Ten Dollar","Jul","Monday","Bonus Video","Holidays",7,"Monthy Player","None","good",1358
"1020","2nd Floor - Middle","Ten Dollar","Sep","Thursday","5 Reel","Magic",4,"Monthy Player","None","bitter",1426
"1023","2nd Floor - Middle","Ten Dollar","Dec","Tuesday","Progressive","Food",1,"Daily Special","None","steamy",1323
"1025","2nd Floor - Middle","Twenty Five Dollar","Jan","Wednesday","Bonus Video","Retro",8,"Daily Special","None","blusterous",393
"1026","2nd Floor - Middle","Twenty Five Dollar","Feb","Thursday","5 Reel","History",20,"VIP","None","dead",1310
"1027","2nd Floor - Middle","Twenty Five Dollar","Mar","Monday","5 Reel","History",2,"Monthy Player","None","cloudy",1053
"1028","2nd Floor - Middle","Twenty Five Dollar","Apr","Wednesday","Progressive","Adventure",9,"New Player","None","rainy",307
"1029","2nd Floor - Middle","Twenty Five Dollar","Apr","Thursday","Bonus Video","Riches",11,"Daily Special","None","calm",83
"1031","2nd Floor - Middle","Twenty Five Dollar","Jul","Friday","Progressive","Entertainment",3,"VIP","None","misty",13
"1033","2nd Floor - Middle","Twenty Five Dollar","Sep","Wednesday","Bonus Video","Travel",13,"Daily Special","None","bitter",156
"1034","2nd Floor - Middle","Twenty Five Dollar","Sep","Thursday","Progressive","Entertainment",2,"None","None","bitter",398
"1035","2nd Floor - Middle","Twenty Five Dollar","Oct","Wednesday","4 Reel","Adventure",20,"Monthy Player","None","blusterous",436
"1036","2nd Floor - Middle","Twenty Five Dollar","Oct","Thursday","Progressive","Movies",3,"New Player","None","warm",1394
"1038","2nd Floor - Middle","Fifty Dollar","Jan","Friday","Bonus Video","History",18,"Daily Special","None","blusterous",347
"1040","2nd Floor - Middle","Fifty Dollar","Mar","Tuesday","5 Reel","Travel",13,"New Player","None","frosty",739
"1041","2nd Floor - Middle","Fifty Dollar","Apr","Wednesday","Progressive","Entertainment",10,"New Player","None","cold",314
"1042","2nd Floor - Middle","Fifty Dollar","Apr","Friday","5 Reel","Sea",15,"Monthy Player","None","muggy",402
"1043","2nd Floor - Middle","Fifty Dollar","May","Wednesday","5 Reel","Riches",5,"VIP","None","stormy",1018
"1044","2nd Floor - Middle","Fifty Dollar","Jun","Monday","4 Reel","Travel",19,"None","None","misty",1167
"1045","2nd Floor - Middle","Fifty Dollar","Jun","Monday","Progressive","Movies",10,"None","None","frosty",642
"1047","2nd Floor - Middle","Fifty Dollar","Aug","Friday","5 Reel","Travel",20,"Monthy Player","None","sultry",1233
"1048","2nd Floor - Middle","Fifty Dollar","Sep","Wednesday","5 Reel","Food",9,"New Player","None","hot",358
"1049","2nd Floor - Middle","Fifty Dollar","Oct","Monday","Progressive","Regional",8,"VIP","None","dead",870
"1050","2nd Floor - Middle","Fifty Dollar","Oct","Monday","Progressive","Travel",16,"Monthy Player","None","wet",1300
"1051","2nd Floor - Middle","Fifty Dollar","Oct","Tuesday","5 Reel","Horror",13,"Daily Special","None","sunny",541
"1052","2nd Floor - Middle","Fifty Dollar","Oct","Sunday","Bonus Video","Fruit",20,"None","None","sunny",1189
"1053","2nd Floor - Middle","Fifty Dollar","Nov","Wednesday","4 Reel","Casinos",14,"New Player","None","blusterous",1176
"1054","2nd Floor - Middle","Fifty Dollar","Nov","Thursday","5 Reel","American",13,"VIP","None","calm",800
"1055","2nd Floor - Middle","Fifty Dollar","Dec","Thursday","4 Reel","American",19,"Daily Special","None","snow",552
"1056","2nd Floor - Middle","Hundred Dollar","Jan","Monday","Progressive","Adventure",20,"New Player","None","frosty",771
"1057","2nd Floor - Middle","Hundred Dollar","Feb","Wednesday","5 Reel","Horror",17,"None","None","good",1222
"1058","2nd Floor - Middle","Hundred Dollar","Feb","Sunday","Bonus Video","Regional",9,"Daily Special","None","bad",1365
"1059","2nd Floor - Middle","Hundred Dollar","Mar","Tuesday","Progressive","Fruit",8,"None","None","steamy",1492
"1061","2nd Floor - Middle","Hundred Dollar","Jul","Tuesday","Bonus Video","American",18,"Monthy Player","None","scorching",1264
"1063","2nd Floor - Middle","Hundred Dollar","Aug","Thursday","Bonus Video","Regional",17,"New Player","None","drizzly",646
"1065","2nd Floor - Middle","Hundred Dollar","Aug","Sunday","Bonus Video","Love",14,"New Player","None","scorching",219
"1066","2nd Floor - Middle","Hundred Dollar","Oct","Friday","Progressive","Horror",10,"Daily Special","None","humid",1257
"1068","2nd Floor - Middle","Hundred Dollar","Nov","Sunday","5 Reel","Movies",11,"New Player","None","frosty",395
"1069","2nd Floor - Middle","Hundred Dollar","Nov","Sunday","Bonus Video","Riches",3,"Daily Special","None","damp",441
"1071","2nd Floor - Back","Penny","Jan","Thursday","Progressive","Riches",2,"None","None","raw",893
"1072","2nd Floor - Back","Penny","Jan","Sunday","Progressive","Casinos",5,"VIP","None","raw",236
"1073","2nd Floor - Back","Penny","Mar","Friday","4 Reel","Sea",9,"VIP","None","drizzly",594
"1074","2nd Floor - Back","Penny","Apr","Friday","Progressive","Entertainment",15,"VIP","None","muggy",1042
"1075","2nd Floor - Back","Penny","Jul","Thursday","Progressive","Love",13,"VIP","None","arid",852
"1076","2nd Floor - Back","Penny","Jul","Friday","5 Reel","Holidays",19,"None","None","cloudy",554
"1077","2nd Floor - Back","Penny","Jul","Friday","Progressive","History",20,"None","None","misty",77
"1078","2nd Floor - Back","Penny","Jul","Sunday","Bonus Video","Other",9,"New Player","None","calm",968
"1079","2nd Floor - Back","Penny","Aug","Tuesday","Progressive","Riches",14,"New Player","None","snow",1174
"1080","2nd Floor - Back","Penny","Sep","Tuesday","5 Reel","Riches",2,"VIP","None","mild",61
"1084","2nd Floor - Back","Penny","Dec","Wednesday","4 Reel","Magic",12,"Daily Special","None","misty",795
"1085","2nd Floor - Back","Penny","Dec","Wednesday","5 Reel","Adventure",3,"VIP","None","stormy",426
"1086","2nd Floor - Back","Two Cent","Jan","Friday","4 Reel","Movies",2,"New Player","None","dark",867
"1087","2nd Floor - Back","Two Cent","Mar","Wednesday","5 Reel","Travel",5,"New Player","None","blusterous",984
"1088","2nd Floor - Back","Two Cent","May","Tuesday","Bonus Video","Riches",2,"New Player","None","showery",61
"1089","2nd Floor - Back","Two Cent","May","Sunday","5 Reel","Retro",3,"VIP","None","steamy",814
"1091","2nd Floor - Back","Two Cent","Jul","Wednesday","4 Reel","Casinos",9,"None","None","hot",551
"1092","2nd Floor - Back","Two Cent","Jul","Friday","Bonus Video","Fruit",12,"Daily Special","None","blusterous",800
"1093","2nd Floor - Back","Two Cent","Sep","Wednesday","5 Reel","Adventure",10,"New Player","None","calm",1270
"1095","2nd Floor - Back","Two Cent","Sep","Thursday","5 Reel","Adventure",11,"VIP","None","raw",1123
"1096","2nd Floor - Back","Two Cent","Sep","Thursday","Bonus Video","Magic",18,"Monthy Player","None","drizzly",548
"1097","2nd Floor - Back","Two Cent","Sep","Friday","Progressive","Other",3,"None","None","calm",897
"1099","2nd Floor - Back","Two Cent","Nov","Tuesday","5 Reel","Entertainment",16,"Daily Special","None","crummy",1245
"1102","2nd Floor - Back","Nickel","Feb","Friday","Bonus Video","Other",4,"None","None","dark",595
"1103","2nd Floor - Back","Nickel","May","Monday","4 Reel","Travel",8,"New Player","None","stormy",755
"1105","2nd Floor - Back","Nickel","Jun","Monday","5 Reel","Other",17,"New Player","None","dead",326
"1106","2nd Floor - Back","Nickel","Jul","Thursday","4 Reel","Movies",17,"VIP","None","blusterous",1413
"1109","2nd Floor - Back","Nickel","Nov","Wednesday","Bonus Video","Casinos",5,"New Player","None","bitter",1035
"1110","2nd Floor - Back","Nickel","Dec","Wednesday","Bonus Video","Fruit",12,"New Player","None","stormy",633
"1111","2nd Floor - Back","Dime","Jan","Wednesday","Bonus Video","Fairy Tale",8,"Daily Special","None","rainy",98
"1116","2nd Floor - Back","Dime","Mar","Friday","4 Reel","Regional",14,"None","None","showery",1183
"1117","2nd Floor - Back","Dime","Mar","Friday","5 Reel","Other",11,"VIP","None","cold",1445
"1118","2nd Floor - Back","Dime","Jun","Tuesday","Progressive","History",6,"VIP","None","wet",747
"1119","2nd Floor - Back","Dime","Jul","Monday","4 Reel","History",7,"Daily Special","None","raw",721
"1120","2nd Floor - Back","Dime","Jul","Tuesday","Bonus Video","Holidays",19,"Daily Special","None","icy",517
"1121","2nd Floor - Back","Dime","Aug","Monday","Progressive","Holidays",10,"New Player","None","close",169
"1122","2nd Floor - Back","Dime","Aug","Sunday","Bonus Video","Classic Symbols",14,"Daily Special","None","scorching",1002
"1123","2nd Floor - Back","Dime","Sep","Tuesday","Bonus Video","Horror",13,"None","None","muggy",106
"1124","2nd Floor - Back","Dime","Sep","Sunday","4 Reel","Regional",16,"VIP","None","stormy",1279
"1125","2nd Floor - Back","Dime","Oct","Tuesday","Progressive","American",3,"Daily Special","None","balmy",1188
"1126","2nd Floor - Back","Quarter","Apr","Sunday","5 Reel","Food",9,"Monthy Player","None","damp",764
"1127","2nd Floor - Back","Quarter","May","Wednesday","Bonus Video","Love",10,"VIP","None","dark",1204
"1128","2nd Floor - Back","Quarter","May","Wednesday","Bonus Video","Regional",14,"Monthy Player","None","muggy",324
"1130","2nd Floor - Back","Quarter","Jul","Friday","5 Reel","Magic",3,"None","None","bad",595
"1131","2nd Floor - Back","Quarter","Aug","Thursday","Bonus Video","Entertainment",1,"Daily Special","None","crummy",372
"1132","2nd Floor - Back","Quarter","Sep","Tuesday","Bonus Video","Horror",9,"Monthy Player","None","frosty",99
"1134","2nd Floor - Back","Quarter","Oct","Thursday","Progressive","Entertainment",12,"None","None","icy",1217
"1136","2nd Floor - Back","Half Dollar","Jan","Tuesday","Progressive","Entertainment",3,"Daily Special","None","dead",542
"1137","2nd Floor - Back","Half Dollar","Jan","Wednesday","Bonus Video","Classic Symbols",14,"Monthy Player","None","icy",314
"1139","2nd Floor - Back","Half Dollar","Mar","Tuesday","5 Reel","Other",2,"New Player","None","calm",72
"1141","2nd Floor - Back","Half Dollar","Apr","Sunday","Progressive","Other",20,"Monthy Player","None","cold",257
"1143","2nd Floor - Back","Half Dollar","Jul","Tuesday","Progressive","Movies",11,"New Player","None","dark",1456
"1144","2nd Floor - Back","Half Dollar","Jul","Thursday","5 Reel","Animals",12,"Monthy Player","None","clear",707
"1145","2nd Floor - Back","Half Dollar","Sep","Tuesday","Progressive","Love",3,"New Player","None","sultry",1239
