Location,Denomination,Month,Weekday,Type,Theme,Age,Promotion,Coupons,Weather,Coin-in
1st Floor - Back,Five Dollar,Jan,Friday,4 Reel,Fruit,11,Monthy Player,None,arid,813
1st Floor - Back,Five Dollar,Jan,Sunday,Progressive,Horror,19,Daily Special,None,blusterous,1794
1st Floor - Back,Five Dollar,Mar,Tuesday,4 Reel,Movies,8,Monthy Player,None,good,1638
1st Floor - Back,Five Dollar,Apr,Thursday,Bonus Video,American,15,Daily Special,None,calm,30
1st Floor - Back,Five Dollar,Apr,Thursday,Bonus Video,Animals,15,Monthy Player,None,close,1724
1st Floor - Back,Five Dollar,Apr,Friday,Bonus Video,Other,14,Monthy Player,None,arid,903
1st Floor - Back,Five Dollar,May,Monday,Progressive,Casinos,2,Monthy Player,None,showery,1211
1st Floor - Back,Five Dollar,May,Monday,Progressive,Horror,19,VIP,None,balmy,1892
1st Floor - Back,Five Dollar,May,Tuesday,5 Reel,Holidays,6,New Player,None,hazy,2141
1st Floor - Back,Five Dollar,Jun,Monday,4 Reel,Animals,13,Monthy Player,None,misty,1779
1st Floor - Back,Five Dollar,Jun,Friday,4 Reel,Animals,2,None,None,arid,979
1st Floor - Back,Five Dollar,Jul,Wednesday,4 Reel,Adventure,12,None,None,mild,1425
1st Floor - Back,Five Dollar,Jul,Sunday,5 Reel,Retro,14,Monthy Player,None,clear,1175
1st Floor - Back,Five Dollar,Sep,Tuesday,4 Reel,Horror,9,VIP,None,close,290
1st Floor - Back,Five Dollar,Oct,Tuesday,5 Reel,Fairy Tale,4,None,None,good,1674
1st Floor - Back,Five Dollar,Oct,Thursday,Bonus Video,Movies,4,Monthy Player,None,close,1466
1st Floor - Back,Five Dollar,Oct,Friday,5 Reel,Holidays,17,New Player,None,crummy,36
1st Floor - Back,Five Dollar,Oct,Sunday,5 Reel,Entertainment,18,None,None,revolting,135
1st Floor - Back,Five Dollar,Nov,Tuesday,Progressive,Adventure,11,None,None,crummy,35
1st Floor - Back,Five Dollar,Nov,Friday,Bonus Video,Fairy Tale,10,Monthy Player,None,arid,1703
1st Floor - Back,Ten Dollar,Jan,Tuesday,5 Reel,Animals,16,Monthy Player,None,icy,261
1st Floor - Back,Ten Dollar,Jan,Tuesday,Progressive,Holidays,11,Daily Special,None,warm,502
1st Floor - Back,Ten Dollar,Jan,Friday,4 Reel,Adventure,14,Daily Special,None,icy,1841
1st Floor - Back,Ten Dollar,Feb,Sunday,Progressive,Regional,13,VIP,None,raw,1303
1st Floor - Back,Ten Dollar,Mar,Thursday,Bonus Video,Love,8,Monthy Player,None,windy,863
1st Floor - Back,Ten Dollar,Apr,Tuesday,5 Reel,History,7,VIP,None,sultry,1893
1st Floor - Back,Ten Dollar,Apr,Friday,Bonus Video,Riches,1,New Player,None,misty,280
1st Floor - Back,Ten Dollar,Jun,Wednesday,5 Reel,Fairy Tale,7,VIP,None,damp,1524
1st Floor - Back,Ten Dollar,Jul,Wednesday,Bonus Video,Classic Symbols,7,New Player,None,rainy,267
1st Floor - Back,Ten Dollar,Jul,Wednesday,Bonus Video,Fruit,1,None,None,dark,1578
1st Floor - Back,Ten Dollar,Aug,Tuesday,5 Reel,Movies,5,Daily Special,None,damp,541
1st Floor - Back,Ten Dollar,Aug,Wednesday,5 Reel,Retro,3,VIP,None,dead,1509
1st Floor - Back,Ten Dollar,Aug,Sunday,5 Reel,History,15,Monthy Player,None,hazy,2106
1st Floor - Back,Ten Dollar,Aug,Sunday,Progressive,Holidays,1,VIP,None,good,1332
1st Floor - Back,Ten Dollar,Sep,Thursday,4 Reel,Entertainment,9,New Player,None,sunny,2098
1st Floor - Back,Ten Dollar,Oct,Tuesday,Bonus Video,Retro,19,None,None,hot,1162
1st Floor - Back,Ten Dollar,Oct,Thursday,Bonus Video,Animals,5,Daily Special,None,arid,1724
1st Floor - Back,Ten Dollar,Dec,Monday,Progressive,Food,11,New Player,None,stormy,1016
1st Floor - Back,Ten Dollar,Dec,Sunday,Progressive,History,6,Monthy Player,None,balmy,1215
1st Floor - Back,Twenty Five Dollar,Feb,Thursday,Progressive,Retro,16,Daily Special,None,clear,659
1st Floor - Back,Twenty Five Dollar,Feb,Friday,5 Reel,Retro,1,Daily Special,None,damp,1522
1st Floor - Back,Twenty Five Dollar,Jul,Wednesday,5 Reel,Regional,16,VIP,None,dead,1214
1st Floor - Back,Twenty Five Dollar,Jul,Wednesday,Bonus Video,Movies,18,New Player,None,blusterous,115
1st Floor - Back,Twenty Five Dollar,Aug,Sunday,Bonus Video,Regional,7,New Player,None,blusterous,1391
1st Floor - Back,Twenty Five Dollar,Dec,Friday,Progressive,Other,11,None,None,humid,605
1st Floor - Back,Fifty Dollar,Jan,Monday,Progressive,American,10,VIP,None,hot,1879
1st Floor - Back,Fifty Dollar,Jan,Wednesday,5 Reel,Other,16,Monthy Player,None,mild,2097
1st Floor - Back,Fifty Dollar,Feb,Wednesday,Bonus Video,Fairy Tale,15,Daily Special,None,close,58
1st Floor - Back,Fifty Dollar,Feb,Thursday,Progressive,History,19,None,None,raw,1553
1st Floor - Back,Fifty Dollar,Feb,Friday,4 Reel,Entertainment,17,Monthy Player,None,clear,1276
1st Floor - Back,Fifty Dollar,Feb,Sunday,5 Reel,Classic Symbols,19,Daily Special,None,mild,1533
1st Floor - Back,Fifty Dollar,Mar,Monday,5 Reel,Retro,12,New Player,None,scorching,2079
1st Floor - Back,Fifty Dollar,Mar,Tuesday,5 Reel,Magic,13,VIP,None,hot,1074
1st Floor - Back,Fifty Dollar,Apr,Monday,5 Reel,Animals,2,Daily Special,None,arid,1514
1st Floor - Back,Fifty Dollar,May,Monday,5 Reel,Holidays,19,Daily Special,None,misty,976
1st Floor - Back,Fifty Dollar,May,Tuesday,4 Reel,Food,17,Monthy Player,None,scorching,428
1st Floor - Back,Fifty Dollar,May,Sunday,Progressive,History,15,Daily Special,None,scorching,2028
1st Floor - Back,Fifty Dollar,Jul,Wednesday,4 Reel,Classic Symbols,5,None,None,frosty,745
1st Floor - Back,Fifty Dollar,Jul,Wednesday,4 Reel,History,18,None,None,calm,1686
1st Floor - Back,Fifty Dollar,Jul,Wednesday,5 Reel,Other,2,Daily Special,None,sultry,1726
1st Floor - Back,Fifty Dollar,Aug,Monday,4 Reel,Animals,20,New Player,None,steamy,1841
1st Floor - Back,Fifty Dollar,Oct,Sunday,5 Reel,Food,5,New Player,None,arid,464
1st Floor - Back,Fifty Dollar,Nov,Monday,4 Reel,Riches,6,New Player,None,close,1642
1st Floor - Back,Hundred Dollar,Jan,Monday,4 Reel,Food,9,Daily Special,None,tempestuous,1463
1st Floor - Back,Hundred Dollar,Jan,Tuesday,5 Reel,Entertainment,15,Daily Special,None,blusterous,2154
1st Floor - Back,Hundred Dollar,Feb,Tuesday,4 Reel,History,7,VIP,None,revolting,545
1st Floor - Back,Hundred Dollar,Feb,Tuesday,5 Reel,Fairy Tale,17,Daily Special,None,calm,853
1st Floor - Back,Hundred Dollar,Mar,Monday,4 Reel,Other,12,None,None,arid,1151
1st Floor - Back,Hundred Dollar,Mar,Friday,5 Reel,Fairy Tale,4,None,None,cold,1200
1st Floor - Back,Hundred Dollar,Apr,Monday,Bonus Video,Other,15,None,None,humid,1432
1st Floor - Back,Hundred Dollar,May,Monday,Progressive,Food,14,None,None,snow,506
1st Floor - Back,Hundred Dollar,May,Thursday,Progressive,Adventure,9,New Player,None,humid,670
1st Floor - Back,Hundred Dollar,May,Sunday,Bonus Video,Adventure,20,Daily Special,None,blusterous,1093
1st Floor - Back,Hundred Dollar,Aug,Monday,4 Reel,Movies,3,New Player,None,calm,1061
1st Floor - Back,Hundred Dollar,Aug,Tuesday,5 Reel,Animals,19,None,None,raw,2031
1st Floor - Back,Hundred Dollar,Aug,Tuesday,Progressive,Fruit,14,Daily Special,None,balmy,1321
1st Floor - Back,Hundred Dollar,Sep,Monday,4 Reel,Magic,17,VIP,None,snow,652
1st Floor - Back,Hundred Dollar,Oct,Monday,5 Reel,Classic Symbols,3,VIP,None,sultry,2173
1st Floor - Back,Hundred Dollar,Oct,Sunday,5 Reel,Fairy Tale,11,Monthy Player,None,dead,275
1st Floor - Back,Hundred Dollar,Nov,Monday,4 Reel,Casinos,2,New Player,None,calm,723
1st Floor - Back,Hundred Dollar,Nov,Sunday,Bonus Video,Entertainment,15,None,None,frosty,67
1st Floor - Back,Hundred Dollar,Dec,Sunday,Progressive,Animals,11,None,None,good,611
2nd Floor - Front,Penny,Jan,Thursday,4 Reel,Love,19,New Player,None,hot,2013
2nd Floor - Front,Penny,Mar,Monday,4 Reel,Retro,1,Daily Special,None,bad,125
2nd Floor - Front,Penny,Mar,Tuesday,Progressive,Adventure,4,VIP,None,warm,597
2nd Floor - Front,Penny,Mar,Wednesday,Bonus Video,Horror,12,Daily Special,None,balmy,2003
2nd Floor - Front,Penny,Apr,Tuesday,4 Reel,Fruit,14,VIP,None,dead,633
2nd Floor - Front,Penny,Apr,Friday,Bonus Video,Riches,19,None,None,showery,2066
2nd Floor - Front,Penny,May,Thursday,Progressive,Food,2,Monthy Player,None,wet,2037
2nd Floor - Front,Penny,Jun,Monday,Progressive,History,13,Monthy Player,None,scorching,2072
2nd Floor - Front,Penny,Jul,Friday,Bonus Video,American,10,VIP,None,showery,897
2nd Floor - Front,Penny,Oct,Wednesday,4 Reel,Food,5,VIP,None,arid,501
2nd Floor - Front,Penny,Nov,Monday,4 Reel,History,13,New Player,None,damp,2016
2nd Floor - Front,Penny,Dec,Tuesday,Bonus Video,Retro,19,New Player,None,hazy,598
2nd Floor - Front,Penny,Dec,Wednesday,5 Reel,History,17,VIP,None,bitter,1401
2nd Floor - Front,Penny,Dec,Friday,Bonus Video,Movies,17,Monthy Player,None,muggy,1080
2nd Floor - Front,Two Cent,Jan,Tuesday,Bonus Video,History,18,New Player,None,muggy,1963
2nd Floor - Front,Two Cent,Feb,Wednesday,4 Reel,Other,13,None,None,bad,1303
2nd Floor - Front,Two Cent,Mar,Sunday,4 Reel,Sea,15,Daily Special,None,warm,857
2nd Floor - Front,Two Cent,Apr,Sunday,Progressive,Horror,13,None,None,raw,686
2nd Floor - Front,Two Cent,May,Friday,5 Reel,Fairy Tale,3,New Player,None,bad,2122
2nd Floor - Front,Two Cent,Jun,Thursday,5 Reel,Travel,14,New Player,None,rainy,1486
2nd Floor - Front,Two Cent,Aug,Wednesday,5 Reel,Riches,14,VIP,None,calm,378
2nd Floor - Front,Two Cent,Sep,Monday,Progressive,Holidays,20,None,None,close,2006
2nd Floor - Front,Two Cent,Sep,Sunday,4 Reel,Regional,1,New Player,None,revolting,394
2nd Floor - Front,Two Cent,Oct,Sunday,5 Reel,Fruit,10,Daily Special,None,dark,298
2nd Floor - Front,Two Cent,Nov,Tuesday,Bonus Video,Travel,20,None,None,sunny,1585
2nd Floor - Front,Two Cent,Nov,Friday,4 Reel,Fairy Tale,4,New Player,None,dark,743
2nd Floor - Front,Two Cent,Nov,Sunday,Bonus Video,Holidays,5,Monthy Player,None,sultry,145
2nd Floor - Front,Two Cent,Dec,Tuesday,4 Reel,Riches,11,Daily Special,None,clear,1319
2nd Floor - Front,Two Cent,Dec,Tuesday,5 Reel,Sea,20,New Player,None,sultry,1603
2nd Floor - Front,Nickel,Jan,Tuesday,Progressive,Holidays,8,VIP,None,hot,417
2nd Floor - Front,Nickel,Feb,Tuesday,5 Reel,Classic Symbols,16,VIP,None,frosty,2064
2nd Floor - Front,Nickel,Feb,Friday,Bonus Video,History,6,VIP,None,humid,1437
2nd Floor - Front,Nickel,Feb,Sunday,Bonus Video,Classic Symbols,2,Daily Special,None,arid,1636
2nd Floor - Front,Nickel,Feb,Sunday,Bonus Video,Classic Symbols,20,Monthy Player,None,steamy,1547
2nd Floor - Front,Nickel,Mar,Tuesday,Bonus Video,Adventure,12,Daily Special,None,dead,2158
2nd Floor - Front,Nickel,Mar,Sunday,4 Reel,Movies,17,VIP,None,bad,503
2nd Floor - Front,Nickel,Apr,Wednesday,4 Reel,Movies,14,Daily Special,None,crummy,510
2nd Floor - Front,Nickel,Apr,Thursday,Progressive,Horror,19,None,None,steamy,397
2nd Floor - Front,Nickel,Jun,Friday,Bonus Video,History,19,Monthy Player,None,crummy,219
2nd Floor - Front,Nickel,Jul,Thursday,4 Reel,Magic,18,None,None,windy,1377
2nd Floor - Front,Nickel,Sep,Wednesday,4 Reel,Holidays,10,Daily Special,None,damp,844
2nd Floor - Front,Nickel,Oct,Friday,5 Reel,Animals,17,VIP,None,windy,1278
2nd Floor - Front,Nickel,Oct,Sunday,Bonus Video,Riches,14,Daily Special,None,calm,1083
2nd Floor - Front,Nickel,Nov,Wednesday,5 Reel,Casinos,10,Daily Special,None,hazy,820
2nd Floor - Front,Nickel,Dec,Thursday,4 Reel,Movies,11,Daily Special,None,close,1500
2nd Floor - Front,Nickel,Dec,Sunday,5 Reel,Animals,15,VIP,None,raw,564
2nd Floor - Front,Nickel,Dec,Sunday,Progressive,Sea,13,VIP,None,wet,711
2nd Floor - Front,Dime,Jan,Sunday,Bonus Video,Food,3,New Player,None,mild,1393
2nd Floor - Front,Dime,Feb,Thursday,5 Reel,Magic,5,None,None,dead,484
2nd Floor - Front,Dime,Feb,Sunday,Bonus Video,Riches,14,Monthy Player,None,showery,955
2nd Floor - Front,Dime,Apr,Tuesday,Progressive,Travel,3,Monthy Player,None,cloudy,112
2nd Floor - Front,Dime,Jun,Wednesday,5 Reel,Fairy Tale,5,New Player,None,cloudy,1947
2nd Floor - Front,Dime,Aug,Tuesday,Bonus Video,Classic Symbols,6,None,None,warm,1120
2nd Floor - Front,Dime,Aug,Sunday,4 Reel,American,17,Daily Special,None,calm,2093
2nd Floor - Front,Dime,Sep,Wednesday,Progressive,Regional,3,Monthy Player,None,cloudy,628
2nd Floor - Front,Dime,Nov,Friday,4 Reel,Other,4,Daily Special,None,blusterous,1745
2nd Floor - Front,Dime,Dec,Tuesday,Bonus Video,Holidays,6,New Player,None,frosty,32
2nd Floor - Front,Quarter,Jan,Wednesday,5 Reel,Fairy Tale,4,Daily Special,None,crummy,150
2nd Floor - Front,Quarter,Jan,Wednesday,5 Reel,Retro,3,None,None,good,605
2nd Floor - Front,Quarter,Feb,Tuesday,Progressive,Regional,4,VIP,None,scorching,1195
2nd Floor - Front,Quarter,Feb,Tuesday,Bonus Video,Riches,11,New Player,None,steamy,292
2nd Floor - Front,Quarter,Feb,Tuesday,Bonus Video,Travel,10,VIP,None,raw,141
2nd Floor - Front,Quarter,Feb,Sunday,5 Reel,American,4,VIP,None,damp,566
2nd Floor - Front,Quarter,Mar,Wednesday,Bonus Video,Riches,4,None,None,drizzly,1734
2nd Floor - Front,Quarter,Apr,Monday,Bonus Video,Fairy Tale,3,Monthy Player,None,drizzly,288
2nd Floor - Front,Quarter,Apr,Sunday,4 Reel,Fruit,15,None,None,steamy,871
2nd Floor - Front,Quarter,Jun,Tuesday,Bonus Video,Magic,7,VIP,None,revolting,1311
2nd Floor - Front,Quarter,Jun,Wednesday,5 Reel,Entertainment,17,Monthy Player,None,drizzly,1460
2nd Floor - Front,Quarter,Jun,Wednesday,5 Reel,Food,2,VIP,None,clear,887
2nd Floor - Front,Quarter,Jun,Friday,Progressive,American,3,New Player,None,sunny,1830
2nd Floor - Front,Quarter,Jun,Sunday,4 Reel,Sea,16,Daily Special,None,sunny,933
2nd Floor - Front,Quarter,Jul,Monday,Progressive,Food,12,None,None,sultry,1764
2nd Floor - Front,Quarter,Jul,Tuesday,4 Reel,Magic,16,VIP,None,sunny,1120
2nd Floor - Front,Quarter,Aug,Tuesday,5 Reel,Sea,5,Daily Special,None,mild,1847
2nd Floor - Front,Quarter,Sep,Sunday,4 Reel,Retro,2,VIP,None,dead,1949
2nd Floor - Front,Quarter,Sep,Sunday,Bonus Video,Regional,10,Daily Special,None,stormy,1976
2nd Floor - Front,Quarter,Nov,Monday,5 Reel,Classic Symbols,8,New Player,None,raw,141
2nd Floor - Front,Half Dollar,Feb,Sunday,Progressive,Fairy Tale,19,VIP,None,stormy,1213
2nd Floor - Front,Half Dollar,Feb,Sunday,Progressive,Holidays,15,Daily Special,None,arid,2135
2nd Floor - Front,Half Dollar,Feb,Sunday,Progressive,Riches,20,New Player,None,balmy,1505
2nd Floor - Front,Half Dollar,Mar,Tuesday,Bonus Video,Adventure,13,None,None,revolting,1694
2nd Floor - Front,Half Dollar,Apr,Friday,4 Reel,Regional,9,Daily Special,None,muggy,1098
2nd Floor - Front,Half Dollar,May,Sunday,Bonus Video,History,13,Monthy Player,None,dead,1345
2nd Floor - Front,Half Dollar,Jun,Thursday,5 Reel,Retro,2,New Player,None,bad,1380
2nd Floor - Front,Half Dollar,Jun,Friday,Bonus Video,Fairy Tale,2,New Player,None,drizzly,599
2nd Floor - Front,Half Dollar,Jun,Sunday,5 Reel,Magic,6,None,None,bitter,1018
2nd Floor - Front,Half Dollar,Jul,Tuesday,4 Reel,Fruit,14,New Player,None,warm,2030
2nd Floor - Front,Half Dollar,Jul,Friday,5 Reel,Casinos,15,Daily Special,None,hot,487
2nd Floor - Front,Half Dollar,Jul,Sunday,5 Reel,Horror,19,None,None,mild,344
2nd Floor - Front,Half Dollar,Aug,Tuesday,5 Reel,Adventure,2,None,None,damp,1852
2nd Floor - Front,Half Dollar,Aug,Tuesday,Bonus Video,History,1,None,None,frosty,741
2nd Floor - Front,Half Dollar,Aug,Wednesday,Bonus Video,Adventure,19,Daily Special,None,crummy,893
2nd Floor - Front,Half Dollar,Aug,Friday,5 Reel,Animals,20,New Player,None,blusterous,721
2nd Floor - Front,Half Dollar,Aug,Friday,Progressive,Retro,19,Monthy Player,None,mild,1544
2nd Floor - Front,Half Dollar,Sep,Tuesday,Bonus Video,Horror,8,Daily Special,None,hot,1329
2nd Floor - Front,Half Dollar,Oct,Monday,5 Reel,Regional,11,Daily Special,None,dark,995
2nd Floor - Front,Half Dollar,Oct,Friday,5 Reel,Casinos,6,VIP,None,raw,720
2nd Floor - Front,Half Dollar,Nov,Thursday,5 Reel,Casinos,5,Daily Special,None,good,1488
2nd Floor - Front,Half Dollar,Nov,Sunday,Bonus Video,Love,20,VIP,None,crummy,1461
2nd Floor - Front,Half Dollar,Dec,Tuesday,5 Reel,Love,11,VIP,None,revolting,653
2nd Floor - Front,Dollar,Jan,Thursday,4 Reel,Riches,7,None,None,good,257
2nd Floor - Front,Dollar,Jan,Friday,5 Reel,Food,15,Daily Special,None,hot,180
2nd Floor - Front,Dollar,Jan,Sunday,Progressive,Horror,4,VIP,None,mild,1096
2nd Floor - Front,Dollar,Feb,Friday,5 Reel,History,3,New Player,None,frosty,1439
2nd Floor - Front,Dollar,Feb,Sunday,Progressive,Horror,20,Monthy Player,None,scorching,950
2nd Floor - Front,Dollar,Feb,Sunday,Bonus Video,Food,19,Monthy Player,None,cold,1911
2nd Floor - Front,Dollar,Mar,Monday,Progressive,Love,3,Monthy Player,None,hot,1865
2nd Floor - Front,Dollar,Mar,Tuesday,5 Reel,Fairy Tale,12,VIP,None,humid,194
2nd Floor - Front,Dollar,Mar,Tuesday,Bonus Video,Horror,7,VIP,None,damp,1227
2nd Floor - Front,Dollar,Mar,Thursday,4 Reel,Classic Symbols,10,Monthy Player,None,bitter,1307
2nd Floor - Front,Dollar,Mar,Thursday,4 Reel,Classic Symbols,20,Monthy Player,None,dark,1317
2nd Floor - Front,Dollar,Mar,Thursday,Progressive,Fairy Tale,10,None,None,revolting,398
2nd Floor - Front,Dollar,Apr,Thursday,Progressive,Animals,20,Daily Special,None,sunny,884
2nd Floor - Front,Dollar,May,Tuesday,5 Reel,Casinos,2,Daily Special,None,bitter,2140
2nd Floor - Front,Dollar,Jun,Thursday,Progressive,Other,11,Daily Special,None,cold,86
2nd Floor - Front,Dollar,Jul,Tuesday,5 Reel,Casinos,3,VIP,None,crummy,478
2nd Floor - Front,Dollar,Jul,Friday,5 Reel,Holidays,6,New Player,None,calm,1979
2nd Floor - Front,Dollar,Jul,Friday,Bonus Video,Adventure,20,None,None,sultry,150
2nd Floor - Front,Dollar,Jul,Friday,Bonus Video,Animals,2,Daily Special,None,drizzly,2114
2nd Floor - Front,Dollar,Sep,Monday,4 Reel,Casinos,18,Monthy Player,None,cloudy,1773
2nd Floor - Front,Dollar,Nov,Wednesday,4 Reel,Fairy Tale,5,VIP,None,humid,1179
2nd Floor - Front,Dollar,Nov,Sunday,4 Reel,Food,12,Monthy Player,None,cloudy,1333
2nd Floor - Front,Dollar,Dec,Monday,5 Reel,Sea,16,Monthy Player,None,damp,1887
2nd Floor - Front,Dollar,Dec,Wednesday,Bonus Video,Casinos,2,New Player,None,drizzly,67
2nd Floor - Front,Dollar,Dec,Thursday,5 Reel,Regional,1,VIP,None,scorching,2085
2nd Floor - Front,Two Dollar,Feb,Tuesday,Progressive,Magic,1,None,None,drizzly,1288
2nd Floor - Front,Two Dollar,Mar,Sunday,Bonus Video,Sea,6,New Player,None,icy,1213
2nd Floor - Front,Two Dollar,Jun,Monday,Progressive,Classic Symbols,19,None,None,calm,1720
2nd Floor - Front,Two Dollar,Jul,Wednesday,Progressive,Travel,3,VIP,None,dark,187
2nd Floor - Front,Two Dollar,Aug,Monday,4 Reel,American,15,Monthy Player,None,hazy,1479
2nd Floor - Front,Two Dollar,Aug,Friday,Progressive,Movies,1,Daily Special,None,windy,1613
2nd Floor - Front,Two Dollar,Nov,Monday,4 Reel,Fruit,11,VIP,None,muggy,1237
2nd Floor - Front,Two Dollar,Nov,Wednesday,5 Reel,Classic Symbols,6,Daily Special,None,revolting,522
2nd Floor - Front,Two Dollar,Nov,Wednesday,Bonus Video,Holidays,10,Monthy Player,None,close,661
2nd Floor - Front,Two Dollar,Nov,Sunday,4 Reel,American,11,New Player,None,damp,278
2nd Floor - Front,Two Dollar,Dec,Monday,4 Reel,Movies,18,Daily Special,None,cloudy,1227
2nd Floor - Front,Two Dollar,Dec,Monday,Progressive,Movies,17,Monthy Player,None,hot,537
2nd Floor - Front,Two Dollar,Dec,Wednesday,5 Reel,Riches,15,New Player,None,revolting,430
2nd Floor - Front,Two Dollar,Dec,Wednesday,Progressive,Riches,4,VIP,None,bitter,1200
2nd Floor - Front,Two Dollar,Dec,Thursday,Progressive,Love,10,Monthy Player,None,close,1000
2nd Floor - Front,Two Dollar,Dec,Friday,Bonus Video,Movies,12,None,None,misty,1125
2nd Floor - Front,Two Dollar,Dec,Sunday,4 Reel,Entertainment,3,None,None,close,773
2nd Floor - Front,Five Dollar,Jan,Friday,Bonus Video,Travel,8,Daily Special,None,balmy,1124
2nd Floor - Front,Five Dollar,Feb,Wednesday,5 Reel,Fruit,6,None,None,icy,358
2nd Floor - Front,Five Dollar,Mar,Tuesday,Bonus Video,Casinos,13,New Player,None,dark,981
2nd Floor - Front,Five Dollar,Apr,Wednesday,Bonus Video,Love,17,Daily Special,None,hot,1543
2nd Floor - Front,Five Dollar,Apr,Friday,Progressive,Food,3,None,None,mild,717
2nd Floor - Front,Five Dollar,May,Tuesday,5 Reel,Animals,18,None,None,arid,1266
2nd Floor - Front,Five Dollar,Jul,Monday,5 Reel,Casinos,2,New Player,None,humid,1917
2nd Floor - Front,Five Dollar,Jul,Sunday,4 Reel,Entertainment,17,New Player,None,icy,61
2nd Floor - Front,Five Dollar,Aug,Friday,Bonus Video,Horror,17,New Player,None,scorching,1107
2nd Floor - Front,Five Dollar,Sep,Tuesday,4 Reel,Fruit,10,Daily Special,None,misty,665
2nd Floor - Front,Five Dollar,Sep,Friday,Progressive,Adventure,4,New Player,None,bad,332
2nd Floor - Front,Five Dollar,Oct,Tuesday,Progressive,Casinos,1,None,None,dark,1574
2nd Floor - Front,Five Dollar,Oct,Wednesday,4 Reel,Travel,4,Monthy Player,None,sunny,1055
2nd Floor - Front,Five Dollar,Oct,Friday,Bonus Video,Love,15,None,None,good,677
2nd Floor - Front,Five Dollar,Oct,Sunday,Progressive,Magic,4,None,None,sunny,493
2nd Floor - Front,Ten Dollar,Jan,Tuesday,5 Reel,Magic,9,VIP,None,good,1941
2nd Floor - Front,Ten Dollar,Feb,Tuesday,5 Reel,Movies,12,Daily Special,None,hot,1422
2nd Floor - Front,Ten Dollar,Feb,Thursday,4 Reel,Casinos,6,VIP,None,close,141
2nd Floor - Front,Ten Dollar,Feb,Friday,4 Reel,Movies,11,None,None,frosty,799
2nd Floor - Front,Ten Dollar,Mar,Tuesday,4 Reel,Other,5,New Player,None,bad,988
2nd Floor - Front,Ten Dollar,Mar,Tuesday,Bonus Video,History,13,New Player,None,blusterous,1327
2nd Floor - Front,Ten Dollar,Apr,Sunday,5 Reel,Magic,4,New Player,None,balmy,724
2nd Floor - Front,Ten Dollar,Jul,Sunday,4 Reel,Movies,6,None,None,mild,2196
2nd Floor - Front,Ten Dollar,Oct,Thursday,Progressive,Other,9,New Player,None,frosty,2061
2nd Floor - Front,Twenty Five Dollar,Jan,Monday,Bonus Video,Travel,7,None,None,misty,1424
2nd Floor - Front,Twenty Five Dollar,Jan,Wednesday,5 Reel,Entertainment,11,Monthy Player,None,cold,587
2nd Floor - Front,Twenty Five Dollar,Jan,Thursday,Progressive,History,3,New Player,None,bitter,197
2nd Floor - Front,Twenty Five Dollar,Feb,Thursday,5 Reel,Fruit,13,New Player,None,calm,723
2nd Floor - Front,Twenty Five Dollar,Feb,Friday,Progressive,Riches,9,None,None,windy,1143
2nd Floor - Front,Twenty Five Dollar,Mar,Monday,Progressive,Horror,7,VIP,None,bad,587
2nd Floor - Front,Twenty Five Dollar,Mar,Thursday,Bonus Video,History,9,Monthy Player,None,snow,1212
2nd Floor - Front,Twenty Five Dollar,Mar,Sunday,4 Reel,History,1,VIP,None,mild,1306
2nd Floor - Front,Twenty Five Dollar,May,Tuesday,Bonus Video,Fairy Tale,5,VIP,None,rainy,1075
2nd Floor - Front,Twenty Five Dollar,May,Friday,Bonus Video,Animals,14,Daily Special,None,scorching,889
2nd Floor - Front,Twenty Five Dollar,Jun,Wednesday,5 Reel,Holidays,13,Monthy Player,None,windy,1982
2nd Floor - Front,Twenty Five Dollar,Jun,Sunday,5 Reel,American,12,None,None,scorching,2008
2nd Floor - Front,Twenty Five Dollar,Aug,Monday,4 Reel,Retro,15,VIP,None,rainy,1202
2nd Floor - Front,Twenty Five Dollar,Aug,Monday,Progressive,Retro,17,None,None,calm,989
2nd Floor - Front,Twenty Five Dollar,Aug,Wednesday,4 Reel,Food,10,None,None,crummy,432
2nd Floor - Front,Twenty Five Dollar,Aug,Thursday,4 Reel,Retro,13,VIP,None,revolting,51
2nd Floor - Front,Twenty Five Dollar,Aug,Thursday,4 Reel,Riches,19,New Player,None,damp,1056
2nd Floor - Front,Twenty Five Dollar,Sep,Monday,Bonus Video,Classic Symbols,11,VIP,None,dark,503
2nd Floor - Front,Twenty Five Dollar,Sep,Thursday,4 Reel,Holidays,8,New Player,None,balmy,1769
2nd Floor - Front,Twenty Five Dollar,Sep,Thursday,Bonus Video,Magic,10,Monthy Player,None,sultry,1405
2nd Floor - Front,Twenty Five Dollar,Sep,Sunday,4 Reel,Sea,10,VIP,None,sunny,1624
2nd Floor - Front,Twenty Five Dollar,Sep,Sunday,4 Reel,Other,10,Daily Special,None,cold,689
2nd Floor - Front,Twenty Five Dollar,Sep,Sunday,Progressive,Fruit,12,Daily Special,None,calm,1276
2nd Floor - Front,Twenty Five Dollar,Sep,Sunday,Bonus Video,Adventure,10,VIP,None,stormy,2124
2nd Floor - Front,Twenty Five Dollar,Oct,Tuesday,Progressive,Movies,10,Monthy Player,None,steamy,892
2nd Floor - Front,Twenty Five Dollar,Oct,Sunday,Bonus Video,Retro,2,Monthy Player,None,dead,99
2nd Floor - Front,Fifty Dollar,Jan,Monday,Progressive,Regional,10,New Player,None,windy,1824
